Record_ID,Date,Area_ID,Population,Population_Density,Household_Size,Per_Capita_Income,Urban_Rural_Type,Temperature_C,Rainfall_mm,Humidity_percent,Season,Day_Type,Festival_Event,Water_Demand,Past_Waste_t1_tons,Past_Waste_t7_tons,Past_Waste_t30_tons,Organic_Waste_percent,Plastic_Waste_percent,Paper_Waste_percent,Other_Waste_percent,Collection_Frequency_per_week,Vehicle_ID,Vehicle_Capacity_kg,Current_Load_kg,Fuel_Consumption_km_per_l,Vehicle_Location_Lat,Vehicle_Location_Long,Traffic_Congestion_Level,Road_ID,Distance_km,Travel_Time_min,Road_Type,Road_Condition,One_Way_Flag,Toll_Road,Recycling_Rate_percent,Disaster_Event,Waste_Generated_tons,,,
11,26-11-2024,73,160304,9147.356623,2,204084,Urban,42.4,11.7,94,Summer,Weekend,None,21242.84,359.9,2969.76,14426.69,44.8,21.1,6,12.8,3,14,8000,1844.8,4.12,31.82347,76.273274,High,176,47.66,135.6,Residential,Poor,0,0,41.3,None,320.61,,,
12,28-03-2024,50,193338,8758.627602,3,172274,Rural,41.4,58.7,77.9,Monsoon,Weekend,None,25791.6,346.72,842.6,734.29,62,13.6,17.9,6.1,2,9,5000,4481.2,3.56,36.607479,93.56263,Medium,450,25.67,109.4,Highway,Poor,0,1,54.7,Cyclone,386.68,,,
13,09-04-2024,62,437628,19110.02563,6,62708,Urban,33.4,242.7,46.1,Summer,Weekday,Local_Festival,61286.41,192.95,2886.13,7231.21,66,27.1,7.5,13.3,4,4,3000,1693.1,3.59,17.034346,81.71191,Medium,175,47.18,103.9,Residential,Average,1,0,33.9,None,875.26,,,
14,25-12-2024,89,9782,11377.97601,6,196123,Urban,30.3,247.9,45.4,Summer,Weekend,None,1255.94,24.95,2020.82,3538.35,46.8,11.8,11.2,14.6,3,18,3000,5799.5,4.72,28.780773,83.452838,Medium,287,18.09,138.4,Residential,Good,1,0,49.8,None,19.56,,,
15,31-05-2024,99,459412,19607.14785,4,339319,Urban,22,245.6,80.3,Winter,Weekday,None,64594.48,208.96,3238.34,326.45,62.9,14,12.5,10.1,3,33,5000,2824.1,4.97,10.651724,75.862869,Medium,259,34.39,160.9,Residential,Average,0,0,48.2,Cyclone,918.82,,,
16,10-05-2024,96,162387,18843.47088,4,69335,Rural,38.7,261.8,55.2,Summer,Weekday,None,21529.4,282.07,1603.61,6462.44,58.4,28.1,19.8,11.8,6,5,2000,4438.5,2.72,16.788086,70.605592,High,211,54.63,77.5,Main_Road,Average,0,0,16,None,324.77,,,
17,29-05-2024,49,277196,14668.60554,6,298885,Urban,15.2,126.8,35.9,Monsoon,Weekend,None,37606.7,32.33,947.12,10296.79,67.7,23.3,18.7,12.1,6,23,3000,623.3,2.63,29.772464,96.652248,Low,489,7.32,59.5,Highway,Good,0,0,53.2,None,554.39,,,
18,04-11-2024,14,286665,20921.04644,6,499112,Urban,28.9,279.6,32.3,Monsoon,Weekday,Local_Festival,38968.35,138.2,2616.03,528.56,69.2,23.2,10.8,6.7,6,11,3000,6942.6,5.38,36.913113,68.169983,Medium,427,37.87,73.7,Highway,Average,1,1,16.1,None,573.33,,,
19,14-09-2024,1,205506,5293.369791,4,182609,Urban,40.8,62.8,56.9,Summer,Weekday,Local_Festival,27480.03,489.67,1193.13,8575.64,59.4,26.4,12.9,7.8,4,35,3000,3467.4,3.2,22.324208,95.095005,High,47,46.47,113,Highway,Good,1,0,35.8,None,411.01,,,
20,09-12-2024,81,218827,4464.357144,2,151472,Urban,33.6,281.1,57,Monsoon,Weekend,None,29341.06,460.35,800.98,1177.31,59.5,21.3,17.5,14.2,6,1,5000,633.4,4.48,19.352687,76.77403,Low,157,0.92,146.1,Highway,Average,1,1,10.2,None,437.65,,,
21,20-10-2024,25,336834,18890.93133,4,448903,Urban,34.1,167,75.9,Summer,Weekday,None,46225.62,409.75,2505.15,9583.21,64.5,26.8,14.7,6.9,3,11,2000,1042,5.06,24.555081,88.177863,Low,223,29.39,68.5,Highway,Good,1,0,50.1,None,673.67,,,
22,10-07-2024,59,40546,6497.528023,7,66352,Urban,17.1,49.2,67.4,Summer,Weekday,None,5240.8,79.32,2898.57,7427.52,68.2,28.1,17.1,14.4,3,37,5000,6548.1,5.12,32.703489,93.122565,Low,254,30.38,47.9,Highway,Good,0,0,38.1,None,81.09,,,
23,03-10-2024,72,215417,568.4624036,4,428727,Urban,23.6,220.8,80.1,Monsoon,Weekday,Local_Festival,28861.15,205.85,3311.18,10133.19,45.6,29.7,16,12.4,5,29,8000,6389.8,5.03,17.315652,81.595496,Low,362,25.53,133.3,Residential,Good,0,0,15.3,None,430.83,,,
24,09-06-2024,69,162044,22843.02413,7,352715,Rural,35.2,88.8,50.7,Winter,Weekday,None,21482.83,107.66,1077.45,1763.53,49.2,28.9,8,6.3,3,38,5000,1494.3,3.46,10.267738,82.80354,Medium,130,0.63,54.1,Main_Road,Average,0,0,13.3,Flood,324.09,,,
25,09-11-2024,5,109713,15761.95792,3,222216,Urban,16.5,66.1,70.6,Summer,Weekend,National_Festival,14383.51,111.63,1662.8,10256.4,51,24.2,19.9,13,3,33,8000,5877.6,5.8,27.743814,96.577715,Low,40,55.53,130.4,Highway,Poor,1,0,54.1,None,219.43,,,
26,22-01-2024,99,260628,11400.9736,3,411904,Rural,24.9,51.6,87.6,Winter,Weekend,National_Festival,35242.48,440.77,676.39,3894.38,42.5,12.9,13.4,5.4,3,14,2000,4590.6,4.4,12.117042,93.948346,Low,142,45.4,98.8,Highway,Good,0,0,26.8,None,521.26,,,
27,09-09-2024,19,476275,18280.5445,2,149798,Urban,25.6,8.8,34.5,Winter,Weekday,None,67189.85,209.09,3289.77,187.69,47.1,23.4,13.6,10.7,5,49,5000,6186.2,3.89,36.260896,94.459571,High,205,43.21,102,Main_Road,Average,1,0,52.2,None,952.55,,,
28,23-08-2024,23,462601,8666.627461,4,251668,Urban,30,229.4,76,Summer,Weekday,None,65080.33,425.25,2886.45,13248.75,47.8,12.9,14,14.6,2,23,3000,2516.8,3.9,32.835459,92.741064,Medium,237,16.67,101.7,Main_Road,Average,1,0,24.4,None,925.2,,,
29,10-12-2024,9,107617,23864.8184,4,239564,Rural,25.9,146,76.5,Monsoon,Weekday,None,14103.2,186.47,1995.88,5656.02,61.9,15.5,5.7,9.2,2,47,3000,1035.9,2.31,11.269002,94.819132,Low,34,16.35,120.1,Highway,Good,0,1,28.3,None,215.23,,,
30,18-02-2024,94,27030,2181.197079,4,274589,Urban,28.6,293.6,81.6,Summer,Weekend,Local_Festival,3483.05,31.81,3210.52,13811.25,48.2,11,19.4,8.4,6,36,8000,1597.5,2.22,21.228912,85.709714,Low,437,54.55,132.9,Residential,Good,0,0,36.1,None,54.06,,,
31,28-02-2024,50,438592,16203.23067,5,321623,Urban,31.4,131.8,47.5,Monsoon,Weekday,Local_Festival,61433.84,71.53,2877.42,7925.34,54.3,18.3,14.9,14.3,6,28,8000,7507.7,2.28,29.877327,70.077607,Low,234,25.03,123.8,Highway,Good,1,0,18.4,None,877.18,,,
32,18-06-2024,16,221713,19543.59233,7,338958,Urban,18.9,253,57.1,Summer,Weekend,None,29747.78,27.25,146.84,2299.87,69.3,25.1,8.1,5.1,5,16,3000,2244,3.14,9.83893,86.183348,Low,360,14.72,6.9,Highway,Good,1,0,38.1,None,443.43,,,
33,06-07-2024,33,94831,11993.58474,7,60065,Urban,20.4,290.4,45.6,Winter,Weekday,None,12397,143.01,2734.63,11080.18,59.5,13.6,16.4,5.4,4,15,3000,7657.3,5.1,30.922604,86.471685,Medium,441,5.69,122.5,Highway,Average,0,0,39.6,None,189.66,,,
34,27-09-2024,2,82400,18996.7247,2,337964,Rural,40,6.7,50.1,Summer,Weekday,None,10744.89,261.67,460.99,14471.91,49,13.9,5.9,14.9,5,24,3000,4084.9,2.86,21.503222,90.218516,Low,205,44.74,157.3,Main_Road,Good,0,0,13.4,Cyclone,164.8,,,
35,08-07-2024,14,476628,23209.30475,4,453654,Urban,28.8,31.6,93,Monsoon,Weekday,National_Festival,67244.16,113.91,1186.32,10512.6,59.2,23,8.8,5.7,2,14,5000,3862.2,5.54,34.077309,74.689276,Low,229,21.62,120.8,Residential,Good,0,0,54.9,None,953.26,,,
36,23-06-2024,1,285199,18727.85057,7,72871,Rural,25.7,104.4,59,Monsoon,Weekday,None,38757.9,291.16,450.43,13278.66,47.2,15.5,9.3,14.7,4,17,3000,7766.6,2.53,19.289179,71.54774,Medium,64,38.17,139.3,Residential,Good,0,0,24.7,None,570.4,,,
37,20-02-2024,90,497436,8079.488245,5,361469,Rural,28,261,85.2,Summer,Weekday,National_Festival,70474.62,150.69,260.97,2297.12,46,18.6,5.4,6.9,5,18,5000,2057.4,3.02,17.659845,73.567541,Medium,157,13.26,69.3,Highway,Average,1,0,50,None,994.87,,,
38,29-12-2024,58,223580,14265.23618,5,283688,Urban,20.2,251.4,81.7,Monsoon,Weekday,None,30011.86,245.86,2136.49,2216.25,51.7,15.7,18.9,12.1,3,22,5000,5835.2,4.2,12.402558,86.256768,Medium,455,32.92,173.5,Residential,Good,0,0,30.2,None,447.16,,,
39,24-02-2024,89,423709,22834.28619,6,331805,Rural,22.2,110,58.9,Summer,Weekend,Local_Festival,59183.29,160.23,3335.67,866.87,44.3,18.4,13.2,9.8,6,17,5000,1429.2,3.8,27.919585,75.276047,Low,69,56,124.6,Main_Road,Good,1,0,25.2,None,847.42,,,
40,31-08-2024,16,79861,11502.89427,7,366994,Urban,30.5,60,94.5,Winter,Weekend,None,10408.1,301.4,288.87,6942.3,52.1,16.5,9.8,6.9,6,42,3000,7020.9,5.29,10.665259,92.01711,Low,409,39.23,44.3,Highway,Average,1,0,50.4,None,159.72,,,
41,15-11-2024,79,388328,17201.61313,4,313540,Urban,25.8,240.7,84.7,Summer,Weekday,None,53870.14,319.76,2631.9,3725.78,65.8,28.7,12.1,14.2,4,46,2000,817,4.82,26.173082,77.948908,Low,2,55.68,49.6,Residential,Average,1,0,48.4,None,776.66,,,
42,10-05-2024,90,383668,11905.11077,4,50173,Rural,29.3,179.1,61.4,Summer,Weekend,National_Festival,53180.7,430.45,1006.33,12121.21,53.7,18.6,13.3,13.6,3,19,2000,6280.2,2.65,28.403593,80.730081,Medium,210,57.55,42.7,Main_Road,Good,0,1,20.4,None,767.34,,,
43,02-11-2024,47,383970,3472.931845,2,433053,Urban,19.5,9.5,50.1,Monsoon,Weekday,Local_Festival,53229.3,413.46,352.36,2218.32,45.5,29,17.9,6,6,6,8000,2376.3,3.75,22.713271,71.057287,Medium,74,21.58,86,Main_Road,Poor,1,0,47.3,Cyclone,767.94,,,
44,14-05-2024,44,303919,1935.642079,5,225426,Urban,19.7,241.3,34.9,Summer,Weekday,None,41449.2,277.41,3231.12,14773.84,48.1,18.8,18.2,7,6,8,3000,4981.9,4.22,32.441257,81.265004,Low,152,50.34,38.8,Highway,Average,0,0,33.7,None,607.84,,,
45,21-01-2024,80,449273,23830.71201,5,328057,Urban,26.5,287.1,60.2,Winter,Weekday,None,63049.42,201.9,227.27,9874.36,53,13.8,5.6,9.2,4,8,3000,6908.3,5.87,36.944889,81.408207,Low,434,31.95,135.3,Main_Road,Average,1,0,38.4,Cyclone,898.55,,,
46,24-11-2024,14,353053,15507.27345,7,241039,Urban,26.4,12.6,53.4,Winter,Weekday,None,48596.81,109.47,405.85,4726.86,55.3,28.9,12.3,9.4,5,41,8000,6023.9,2.32,33.746715,68.513491,Medium,49,57.6,6.7,Main_Road,Average,1,0,11.4,Landslide,706.11,,,
47,15-06-2024,93,303397,3043.465372,7,270543,Urban,41.5,85.8,76.2,Summer,Weekday,None,41374.32,310.78,824.25,14386.44,60,16.3,17.4,6.5,5,23,5000,7687.1,4.42,30.137524,89.045152,Low,93,48.99,51.6,Main_Road,Average,1,0,14.9,Heatwave,606.79,,,
48,30-09-2024,24,222789,21507.24468,4,126616,Urban,16,245.8,31.3,Monsoon,Weekday,None,29900.27,275.13,3260.15,11299.56,65.7,18.8,12.5,6.7,4,50,5000,6898.7,2.55,16.859341,69.464092,Low,147,30.47,16.9,Residential,Poor,1,0,47,None,445.58,,,
49,29-03-2024,55,261072,13305.98184,7,281622,Urban,44.8,175.4,84,Winter,Weekday,None,35306.4,23.59,1090.12,1460.03,46.3,14.7,16.5,12.6,6,25,2000,3618.6,5.42,20.905629,79.782724,Low,364,37.29,63.9,Main_Road,Good,0,0,43,None,522.14,,,
50,11-11-2024,15,56884,19412.33675,4,433577,Rural,43.7,296.8,57.1,Summer,Weekend,None,7379.92,23.5,141.5,13436.94,63.1,24.3,5.1,9.6,6,5,8000,3309.6,4.18,8.932769,80.726986,Medium,80,48.88,6.5,Residential,Average,1,0,16.5,None,113.77,,,
51,14-01-2024,83,81497,3605.526793,4,134998,Urban,31.3,274.7,60.5,Summer,Weekday,None,10624.28,79.29,689.23,9706.66,59.7,27.5,14.9,13.7,2,21,2000,6216.7,2.84,16.117203,78.623971,Low,377,16.31,112.7,Residential,Average,1,1,28.5,None,162.99,,,
52,29-08-2024,72,284849,22719.30558,2,112726,Urban,36.6,53.5,41.9,Winter,Weekday,None,38706.49,360.06,1579.79,3332.77,51.6,11.9,6.7,13.5,5,48,5000,2684.3,4.34,33.889986,79.510374,Low,68,9.96,67,Highway,Good,0,0,43,Cyclone,569.7,,,
53,21-09-2024,34,180748,14968.11827,3,298811,Urban,43.1,202.2,90.9,Monsoon,Weekday,None,24044.97,430.33,3093.71,444.62,45.2,15.2,18.4,14.2,4,16,5000,3235.2,3.33,25.329372,93.763495,Medium,204,51.11,69,Residential,Good,0,0,52,Heatwave,361.5,,,
54,11-12-2024,2,237730,18587.38668,4,497097,Rural,22.5,196,55.9,Summer,Weekday,Local_Festival,32000.8,17.65,940.67,12034.02,62.7,28.8,19.1,9.2,5,24,8000,6840.8,3.02,25.713122,91.346077,Medium,89,59.69,82.7,Main_Road,Poor,0,1,36.9,None,475.46,,,
55,22-02-2024,27,358784,1268.802356,5,150003,Urban,24.5,33.3,84.8,Winter,Weekday,None,49454.45,410.01,1806.69,7058.9,46.7,20.1,17.9,11.7,6,46,8000,1503.6,2.04,8.497715,89.684919,Medium,261,5.05,154,Main_Road,Poor,0,0,45.4,None,717.57,,,
56,05-12-2024,74,215117,8224.970055,3,392643,Rural,18.3,26.9,45.4,Summer,Weekday,None,28819.21,235.36,1085.01,1906.47,54.8,28.4,14.3,5.4,4,28,8000,665.4,4.7,18.462689,85.305278,Low,253,37.07,37.6,Main_Road,Average,0,1,47.8,None,430.23,,,
57,01-04-2024,99,12101,7052.412653,5,367964,Urban,31.9,170.8,36.3,Winter,Weekday,None,1554.37,203.6,2027.41,8953.77,52.9,23,6.4,5,3,4,3000,7648.6,3.55,25.084714,96.223392,Medium,4,25.93,162.5,Residential,Average,0,0,41.2,None,24.2,,,
58,20-09-2024,87,329639,23765.07738,6,173842,Urban,19.8,120.9,71.3,Summer,Weekday,National_Festival,45175.46,274.61,346.23,12100.91,61.5,27.3,18.6,6.8,5,24,3000,2122.8,5.47,32.833304,80.39098,Medium,8,37.74,162.7,Highway,Good,0,0,45.3,None,659.28,,,
59,04-02-2024,72,402959,5040.794938,3,331619,Urban,42.9,163.6,94,Monsoon,Weekday,None,56053.21,468.81,1770.26,9860.31,58,23.7,15.6,9.1,6,23,8000,1603.6,5.91,32.989954,72.854894,Medium,120,25.42,126.3,Residential,Good,1,0,28.5,None,805.92,,,
60,24-07-2024,92,13951,17822.7673,2,482381,Urban,27.9,71.6,72.1,Monsoon,Weekend,None,1792.81,286.6,286.22,12462.46,47.5,11.8,10.8,8.7,6,13,8000,4912.6,3.79,17.902067,91.711133,Low,289,40.36,170,Main_Road,Average,1,0,11.2,None,27.9,,,
61,21-03-2024,23,143086,1547.461675,6,430083,Urban,42.6,167,69.6,Winter,Weekday,None,18888.55,56.77,3429.84,9810.47,62.5,24.5,13.1,9.8,4,50,8000,7206.4,3.69,25.241112,82.161464,Medium,219,3.1,16.2,Residential,Good,0,0,18.5,None,286.17,,,
62,19-02-2024,68,41180,5343.2601,5,164412,Urban,21.2,115,58.7,Summer,Weekday,Local_Festival,5323.25,238.53,3215.69,14996.58,60.5,17.9,16.9,11.5,4,7,8000,3462.3,4.71,8.66757,89.929417,Low,364,21.92,77.2,Main_Road,Average,1,0,37.4,None,82.36,,,
63,25-12-2024,14,324121,8795.635179,3,417968,Urban,35.8,266.3,48.4,Monsoon,Weekend,None,44369.8,489.03,2277.16,6083.2,58,11.7,9.9,14.2,3,33,8000,5662.6,3.83,14.64553,72.863265,Medium,365,10.13,19.3,Residential,Average,0,1,38.3,None,648.24,,,
64,02-01-2024,63,252117,19965.39327,4,453158,Rural,34.4,91.8,58,Winter,Weekend,None,34032.05,85.84,3221.09,2714.9,41.6,26.6,18.5,13.1,6,25,3000,5210,2.51,35.499045,96.850801,Low,22,32.11,6.4,Residential,Average,1,0,8.9,None,504.23,,,
65,23-02-2024,93,195606,19854.42621,7,83660,Rural,27,261.3,39.7,Monsoon,Weekday,Local_Festival,26107.62,233.78,2074.71,12526.18,68.5,29.2,17,14.4,6,42,3000,3588.2,2.93,29.762457,86.110807,Medium,93,48.33,175.5,Residential,Good,0,0,36.7,Landslide,391.21,,,
66,15-04-2024,65,68209,23838.74561,5,320550,Urban,42,117,47,Monsoon,Weekday,None,8869.17,350.05,1100.12,6368.07,41,24.5,18.8,8.4,6,13,8000,1160.9,2.97,12.315767,75.804229,Low,69,58.67,42.8,Highway,Good,1,0,44.1,Landslide,136.42,,,
67,16-09-2024,68,254241,22960.80382,7,266421,Rural,28,173.4,61.7,Summer,Weekend,None,34334.2,185.66,544.54,7922.7,63.9,11.8,7.3,14.9,6,5,2000,7457.6,5.55,29.138012,93.301028,Low,8,28.51,29.4,Residential,Good,0,0,12.7,Heatwave,508.48,,,
68,05-11-2024,63,177980,2497.107579,7,194243,Urban,21,85.9,39.4,Summer,Weekday,Local_Festival,23663.05,385.69,3477.57,10501.9,46.4,16.7,9.6,5.1,5,26,3000,7838.6,3.47,13.852094,80.179734,Low,458,32.15,24.4,Highway,Poor,1,0,10.7,None,355.96,,,
69,09-07-2024,96,375719,20831.75919,7,145839,Urban,44.3,242.7,81.4,Monsoon,Weekend,None,51987.58,110.02,887.4,1577.09,40.1,17.3,16.5,6.9,2,40,3000,4596.3,5.76,10.92854,72.999628,Medium,296,28.21,110.2,Highway,Average,0,0,45.7,None,751.44,,,
70,05-08-2024,97,318062,11553.7527,6,137259,Urban,28.2,253.1,30.8,Monsoon,Weekday,None,43490.56,51.31,3038.8,2602.48,41.1,27.5,7.1,8.5,3,8,5000,1404.6,3.04,10.367165,84.887746,Medium,56,16.87,98.1,Main_Road,Poor,1,1,45.6,None,636.12,,,
71,13-02-2024,90,406435,21714.20922,4,132525,Urban,21.2,242.7,50.9,Monsoon,Weekday,None,56573.5,167.89,1534.71,3275.34,42,21.9,18.5,11.2,6,10,8000,5821.1,5.76,24.32845,96.1176,Low,136,4.04,18.4,Highway,Average,0,1,52.9,None,812.87,,,
72,10-06-2024,81,143235,2687.513163,5,425120,Rural,25.9,192,63.6,Monsoon,Weekday,None,18909.19,434.96,1163,3926.31,66.6,13.9,10.5,6.8,2,24,3000,991.8,3.47,20.181032,87.752181,Medium,299,29.85,103,Highway,Good,0,0,30.6,Flood,286.47,,,
73,20-07-2024,87,138542,20657.84299,3,365710,Urban,33.4,91.4,90.4,Winter,Weekend,National_Festival,18274.12,358.54,899.18,8837.27,62.5,11.1,11.6,10.6,5,33,8000,4942.7,4.5,24.697136,89.154387,Low,430,29.13,63,Residential,Good,0,0,49.2,Cyclone,277.08,,,
74,26-09-2024,64,414759,4411.241716,3,197384,Urban,30.4,190.9,67.3,Winter,Weekend,Local_Festival,57833.5,491.6,3024.29,11815.91,54.9,19.2,18.9,14.5,5,3,5000,4162.9,3.71,10.906689,95.463736,Low,10,45.79,128.5,Residential,Poor,0,1,14.4,Flood,829.52,,,
75,16-12-2024,32,155348,8679.119937,7,148039,Urban,34.1,287.9,49.2,Monsoon,Weekday,None,20566.38,168.25,2950.19,11013.56,67.3,21.3,15.6,9.7,4,47,5000,890.2,2.55,29.125168,69.000348,Low,317,44.2,9.4,Residential,Poor,0,1,44.8,None,310.7,,,
76,30-10-2024,79,125014,1206.785807,4,363809,Urban,34.9,194.5,52.9,Summer,Weekday,None,16439.27,253.71,3058.65,2157.5,56.3,24.9,13.3,9.5,4,36,2000,1653.6,5.31,31.636241,94.946217,Medium,211,45.35,52.1,Residential,Poor,0,0,19.2,Flood,250.03,,,
77,27-09-2024,13,172953,3531.338161,7,210472,Urban,18.7,286.9,52,Summer,Weekend,None,22974.84,214.57,2581.82,6387.06,49.8,25.3,6.5,7.9,5,7,2000,1538.1,4.02,13.875918,93.357411,Low,490,29.39,100.8,Residential,Good,1,0,41.3,None,345.91,,,
78,02-08-2024,66,346094,11420.28419,3,417491,Urban,24.4,91.4,41.7,Winter,Weekend,Local_Festival,47580.05,246.21,258.26,11466.39,40.2,12.3,8.6,14.5,6,12,3000,5828.4,3.18,14.916196,70.9384,Medium,231,11.82,83.4,Residential,Good,0,0,21.9,Heatwave,692.19,,,
79,08-09-2024,19,12749,20549.28922,6,198633,Urban,37.5,253.8,39.4,Monsoon,Weekday,None,1637.85,75.13,1263.49,5329.96,64,27,12.2,13.1,2,19,8000,6225.6,5.89,20.66315,96.127626,Low,415,19.22,69.9,Highway,Average,1,0,24,None,25.5,,,
80,08-07-2024,24,291326,19454.9094,4,488622,Rural,34.5,215.5,61.2,Summer,Weekday,None,39636.17,102.59,2858.96,3947.95,69,13.9,13.5,14.6,4,36,8000,1242.9,2.61,17.590264,68.136848,Low,257,24.44,178.5,Residential,Good,1,1,53.2,None,582.65,,,
81,22-10-2024,88,344594,6264.795164,4,137101,Urban,17.7,245.8,47.6,Monsoon,Weekday,None,47359.41,252.79,3406.85,1404.54,44.5,20.4,17.8,11.9,4,16,2000,3127.4,2.79,25.878042,85.874426,Medium,89,8.44,137.5,Residential,Average,1,1,50.2,None,689.19,,,
82,31-07-2024,11,85543,4216.416002,6,395547,Urban,24.5,213.2,36,Winter,Weekend,None,11161.32,484.25,3018.27,8817.97,69.2,10.8,16,7.4,2,14,5000,1467.1,5.53,13.352273,71.276072,Low,43,22.89,100.9,Highway,Average,0,1,51.2,None,171.09,,,
83,26-07-2024,59,101487,10036.95484,3,79621,Urban,42.9,144.1,44.1,Winter,Weekend,National_Festival,13283.83,472.61,2353.65,3658.25,46.9,11.8,17.3,13,5,2,2000,7376.6,4.87,29.586111,81.143548,Medium,22,35.48,86.3,Highway,Good,0,0,40,None,202.97,,,
84,24-08-2024,86,377371,22140.07451,6,495679,Urban,40.9,206,63.8,Summer,Weekend,Local_Festival,52235.01,51.53,2889.41,5785.3,57.1,22.5,6.8,14,5,22,2000,943.9,5.63,30.491742,74.565896,Medium,439,37.24,6.2,Highway,Good,1,0,21.6,None,754.74,,,
85,03-12-2024,15,234216,2739.914317,6,398349,Urban,35.1,279.6,46.7,Monsoon,Weekday,None,31506.28,293.44,1310.86,6785,45.6,22.6,17.7,8.5,3,13,5000,3523,4.92,29.64663,73.327672,High,233,34.71,143,Highway,Average,1,0,30.3,None,468.43,,,
86,22-02-2024,10,419599,13801.39325,6,139233,Rural,17.2,125.3,45.5,Winter,Weekend,None,58556.53,312.04,2358.04,4575.21,48.3,19.8,8.7,5.7,2,36,5000,2304.7,3.23,13.892683,95.248139,Medium,477,10.58,16.1,Highway,Poor,1,0,25.1,Heatwave,839.2,,,
87,06-10-2024,41,345722,2675.783245,2,452953,Rural,33.2,285.5,70.3,Summer,Weekday,None,47524.71,319.79,2664.36,14462.82,69.6,22.2,16.7,11.1,6,34,2000,7522.1,5.71,15.73012,95.008098,High,283,38.81,129.2,Highway,Average,1,0,39.2,Flood,691.44,,,
